,precision,recall,f1-score,support
CNV,0.8144329896907216,0.9793388429752066,0.8893058161350843,242.0
DME,0.9777777777777777,0.9090909090909091,0.9421841541755889,242.0
DRUSEN,1.0,0.6363636363636364,0.7777777777777778,242.0
NORMAL,0.8120805369127517,1.0,0.8962962962962964,242.0
accuracy,0.881198347107438,0.881198347107438,0.881198347107438,0.881198347107438
macro avg,0.9010728260953127,0.8811983471074379,0.8763910110961868,968.0
weighted avg,0.9010728260953127,0.881198347107438,0.8763910110961869,968.0
