,precision,recall,f1-score,support
CNV,0.8763636363636363,0.9958677685950413,0.932301740812379,242.0
DME,0.99581589958159,0.9834710743801653,0.9896049896049897,242.0
DRUSEN,1.0,0.8677685950413223,0.9292035398230089,242.0
NORMAL,0.9918032786885246,1.0,0.9958847736625513,242.0
accuracy,0.9617768595041323,0.9617768595041323,0.9617768595041323,0.9617768595041323
macro avg,0.9659957036584378,0.9617768595041323,0.9617487609757323,968.0
weighted avg,0.9659957036584378,0.9617768595041323,0.9617487609757323,968.0
