,precision,recall,f1-score,support
CNV,0.6985507246376812,0.9958677685950413,0.8211243611584328,242.0
DME,0.9954337899543378,0.9008264462809917,0.9457700650759219,242.0
DRUSEN,1.0,0.5909090909090909,0.7428571428571429,242.0
NORMAL,0.9272030651340997,1.0,0.9622266401590458,242.0
accuracy,0.871900826446281,0.871900826446281,0.871900826446281,0.871900826446281
macro avg,0.9052968949315296,0.871900826446281,0.8679945523126358,968.0
weighted avg,0.9052968949315298,0.871900826446281,0.8679945523126359,968.0
